term,definition,source_glossary,math_area,scope,extraction_method,section,term_wikilink,is_stub,has_math,has_disambiguation,line_number,definition_wikilinks_count
transversal,"A line meeting several other lines. For example, 4 generic lines in projective 3-space have 2 transversals meeting all of them.",Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1236,0
triad,A set of 3 points,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1239,0
tricircular,A tricircular curve is one that passes through the circular points at infinity with order 3.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1242,1
tricuspidal,Having three cusps,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1245,0
trigonal,A trigonal curve is one with a degree three map to the projective line. See hyperelliptic.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1248,0
trihedral,A set of 3 planes A Steiner trihedral is a set of three tritangent planes of a cubic surface whose intersection point is not on the surface.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1251,0
trilinear coordinates,Coordinates based on distance from sides of a triangle: Trilinear coordinates.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1254,1
trinodal,Having three nodes,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1257,0
tripartite,Having three connected components.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1260,0
trisecant,A line meeting a variety in 3 points. See trisecant identity.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1263,1
tritangent,"Meeting something in 3 tangent points, such as a tritangent conic to a cubic curve or a tritangent plane of a cubic surface.",Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1266,0
trope,A trope is a singular (meaning special) tangent space. The word is mostly used for a tangent space of a Kummer surface touching it along a conic.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1269,2
twisted,A twisted cubic is a degree 3 embedding of the projective line in projective 3-space,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1272,1
total,"A set of 5 partitions of a 6-element set into three pairs, such that no two elements of the total have a pair in common. For example, {(12)(36)(45), (13)(24)(56), (14)(26)(35), (15)(23)(46), (16)(25)(34)}",Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1275,0
type,The type of a projective surface is the number of tangent planes meeting a generic linear subspace of codimension 4.,Glossary of classical algebraic geometry,geometry_topology,primary,template,T,,False,False,False,1278,0
undulation,A point of undulation of a curve is where the tangent meets the curve to fourth order; also called a hyperflex. See inflection point.,Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1286,0
unibranch,"Having only one branch at a point. For example, a cusp of a plane curve is unibranch, while a node is not.",Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1289,0
unicursal,"A unicursal curve is one that is rational, in other words birational to the projective line. See .",Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1292,1
unipartite,Connected. See,Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1295,1
unirational,"A correspondence is called unirational if it is generically injective, in other words a rational map.",Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1298,0
united point,A point in the intersection of the diagonal and a correspondence from a set to itself.,Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1302,0
unode,A double point of a surface whose tangent cone consists of one double plane. See binode.,Glossary of classical algebraic geometry,geometry_topology,primary,template,U,,False,False,False,1305,0
valence,The valence or valency of a correspondence T on a curve is a number k such that the divisors T(P)+kP are all linearly equivalent. A correspondence need not have a valency.,Glossary of classical algebraic geometry,geometry_topology,primary,template,V,,False,False,False,1313,0
valency,The valence or valency of a correspondence T on a curve is a number k such that the divisors T(P)+kP are all linearly equivalent. A correspondence need not have a valency.,Glossary of classical algebraic geometry,geometry_topology,primary,template,V,,False,False,False,1314,0
Veronese surface,An embedding of the projective plane in 5-dimensional projective space.,Glossary of classical algebraic geometry,geometry_topology,primary,template,V,,False,False,False,1317,0
virtual,"An estimate for something that is often but not always correct, such as virtual genus, virtual dimension, and so on. If some number is given by the dimension of a space of sections of some sheaf, the corresponding virtual number is sometimes given by the corresponding Euler characteristic, and equal to the dimension when all higher cohomology groups vanish. See superabundance.",Glossary of classical algebraic geometry,geometry_topology,primary,template,V,,False,False,False,1320,0
web,"A 3-dimensional linear system. See ""net"" and ""pencil"".",Glossary of classical algebraic geometry,geometry_topology,primary,template,W,,False,False,False,1328,0
Weddle surface,A quartic surface in projective space given by the locus of the vertex of a cone passing through 6 points in general position.,Glossary of classical algebraic geometry,geometry_topology,primary,template,W,,False,False,False,1331,0
Weierstrass point,A point on a curve where the dimension of the space of rational functions whose only singularity is a pole of some order at the point is higher than normal.,Glossary of classical algebraic geometry,geometry_topology,primary,template,W,,False,False,False,1334,0
Wirtinger sextic,A degree 4 genus 6 plane curve with nodes at the 6 points of a complete quadrangle.,Glossary of classical algebraic geometry,geometry_topology,primary,template,W,,False,False,False,1337,1
Zeuthen–Segre invariant,The Zeuthen–Segre invariant is 4 less than the Euler characteristic of a non-singular projective surface.,Glossary of classical algebraic geometry,geometry_topology,primary,template,XYZ,,False,False,False,1345,1
(),"k(x,y,...) is a field extension of k generated by x,y,...",Glossary of commutative algebra,algebra,primary,template,!$@,,False,False,True,11,1
[],"R[x,y,...] is a polynomial ring over R.",Glossary of commutative algebra,algebra,primary,template,!$@,,False,False,False,19,1
[[]],"Rx,y,... is a formal power series ring over R.",Glossary of commutative algebra,algebra,primary,template,!$@,,False,False,False,23,2
{},"R{x,y,...} is a ring of formal power series over R satisfying some convergence condition.",Glossary of commutative algebra,algebra,primary,template,!$@,,False,False,False,27,0
^,Â is the completion of A.,Glossary of commutative algebra,algebra,primary,template,!$@,,False,False,False,31,1
absolute integral closure,The absolute integral closure is the integral closure of an integral domain in an algebraic closure of the field of fractions of the domain.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,38,1
absolutely,"The word ""absolutely"" usually means ""not relatively""; i.e., independent of the base field in some sense. It is often synonymous with ""geometrically"".",Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,42,0
acceptable ring,"Acceptable rings are generalizations of excellent rings, with the conditions about regular rings in the definition replaced by conditions about Gorenstein rings.",Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,59,2
adic,The I-adic topology on a ring has a base of neighborhoods of 0 given by powers of the ideal I.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,63,0
affine ring,An affine ring R over another ring S (often a field) is a ring (or sometimes an integral domain) that is finitely generated over S.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,67,0
algebraic-geometrical local ring,A local ring that is a localization of a finitely-generated domain over a field.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,71,0
almost,An element x of a ring is called almost integral over a subring if there is a regular element a of the subring so that axn is in the subring for all positive integers n.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,75,0
altitude,The altitude of a ring is an archaic name for its dimension.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,80,0
analytic,The analytic spread of an ideal of a local ring is the Krull dimension of the fiber at the special point of the local ring of the Rees algebra of the ideal.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,86,0
analytically,This often refers to properties of the completion of a local ring; cf. #formally,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,94,1
annihilator,The annihilator of a subset of a module is the ideal of elements whose product with any element of the subset is 0.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,106,1
Artin,Emil Artin,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,110,1
Artinian,Emil Artin,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,111,1
ASL,Acronym for algebra with straightening law.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,123,1
associated,An associated prime of a module M over a ring R is a prime ideal p such that M has a submodule isomorphic to R/p.,Glossary of commutative algebra,algebra,primary,template,A,,False,False,False,127,1
Bass number,"If M is a module over a local ring R with residue field k, then the ith Bass number of M is the k-dimension of Ext(k,M).",Glossary of commutative algebra,algebra,primary,template,B,,False,False,False,136,1
Bézout domain,A Bézout domain is an integral domain in which the sum of two principal ideals is a principal ideal.,Glossary of commutative algebra,algebra,primary,template,B,,False,False,False,140,1
big,"The word ""big"" when applied to a module emphasizes that the module is not necessarily finitely generated. In particular a big Cohen–Macaulay module is a module that has a system of parameters for which it is regular.",Glossary of commutative algebra,algebra,primary,template,B,,False,False,False,144,0
Bourbaki ideal,A Bourbaki ideal of a torsion-free module M is an ideal isomorphic (as a module) to a torsion-free quotient of M by a free submodule.,Glossary of commutative algebra,algebra,primary,template,B,,False,False,False,154,0
Buchsbaum ring,A Buchsbaum ring is a Noetherian local ring such that every system of parameters is a weak sequence.,Glossary of commutative algebra,algebra,primary,template,B,,False,False,False,158,1
canonical,"""Canonical module"" is an alternative term for a dualizing module.",Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,167,1
catenary,A ring is called catenary if all maximal chains between two prime ideals have the same length.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,171,1
center,The center of a valuation (or place) is the ideal of elements of positive order.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,176,0
chain,A strictly increasing or decreasing sequence of prime ideals.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,180,0
characteristic,The characteristic of a ring is a non-negative integer generating the Z-ideal of multiples of 1 that are zero.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,184,1
clean,A finitely generated module M over a Noetherian ring R is called clean if it has a finite filtration all of whose quotients are of the form R/p for p an associated prime of M. A stronger variation of this definition says that the primes p must be minimal primes of the support of M.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,188,0
CM,Abbreviation for Cohen–Macaulay.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,194,1
CoCoA,The CoCoA computer algebra system for computations in commutative algebra,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,198,1
codepth,The codepth of a finitely generated module over a Noetherian local ring is its dimension minus its depth.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,201,0
codimension,The codimension of a prime ideal is another name for its #height.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,205,1
coefficient ring,A complete Noetherian local ring,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,209,0
Cohen,Irvin Cohen,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,215,1
Cohen–Macaulay,A local ring is called Cohen–Macaulay if it is Noetherian and the Krull dimension is equal to the depth. A ring is called Cohen–Macaulay if it is Noetherian and all localizations at maximal ideals are Cohen–Macaulay.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,219,1
coherent,A module is called coherent if it is finitely generated and every homomorphism to it from a finitely generated module has a finitely generated kernel.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,226,1
complete,A local complete intersection ring is a Noetherian local ring whose completion is the quotient of a regular local ring by an ideal generated by a regular sequence.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,232,1
completely integrally closed,"A domain R is called completely integrally closed if, whenever all positive powers of some element x of the quotient field are contained in a finitely generated R module, x is in R.",Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,238,1
completion,The completion of a module or ring M at an ideal I is the inverse limit of the modules M/InM.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,242,1
composite,Not prime,Glossary of commutative algebra,algebra,primary,template,C,,True,False,False,246,0
conductor,"The conductor of an integral domain R is the annihilator of the R-module T/R, where T is the integral closure of R in its quotient field.",Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,252,1
congruence ideal,A congruence ideal of a surjective homomorphism f:B→C of commutative rings is the image under f of the annihilator of the kernel of f.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,256,1
connected,A graded algebra over a field k is connected if its zeroth degree piece is k.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,260,0
conormal,The conormal module of a quotient of a ring by an ideal I is the module I/I2.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,264,0
constructible,"For a Noetherian ring, a constructible subset of the spectrum is one that is a finite union of locally closed sets. For rings that are not Noetherian the definition of a constructible subset is more complicated.",Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,268,1
content,The content of a polynomial is a greatest common divisor of its coefficients.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,272,0
contraction,The contraction of an ideal is the ideal given by the inverse image of some ideal under a homomorphism of rings.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,276,1
coprimary,|A coprimary module is a module with exactly one associated prime.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,280,1
coprime,Two ideals are called coprime if their sum is the whole ring.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,284,0
cotangent,The cotangent space of a local ring with maximal ideal m is the vector space m/m2 over the residue field.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,290,1
Cox ring,A Cox ring is a sort of universal homogeneous coordinate ring for a projective variety.,Glossary of commutative algebra,algebra,primary,template,C,,False,False,False,295,1
decomposable,A module is called decomposable if it can be written as a direct sum of two non-zero submodules.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,304,1
decomposition group,A decomposition group is a group of automorphisms of a ring whose elements fix a given prime ideal.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,309,1
Dedekind domain,A Dedekind domain is a Noetherian integrally closed domain of dimension at most 1.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,313,1
defect,"The ramification defect or ramification deficiency d of a valuation of a field K is given by [L:K]=defg where e is the ramification index, f is the inertia degree, and g is the number of extensions of the valuation to a larger field L. The number d is a power pδ of the characteristic p, and sometimes δ rather than d is called the ramification deficiency.",Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,317,0
deficiency,"The ramification defect or ramification deficiency d of a valuation of a field K is given by [L:K]=defg where e is the ramification index, f is the inertia degree, and g is the number of extensions of the valuation to a larger field L. The number d is a power pδ of the characteristic p, and sometimes δ rather than d is called the ramification deficiency.",Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,319,0
depth,"The I-depth (also called grade) of a module M over a ring R, where I is an ideal, is the smallest integer n such that Ext(R/I,M) is nonzero. When I is the maximal ideal of a local ring this is just called the depth of M, and if in addition M is the local ring R this is called the depth of the ring R.",Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,323,1
derivation,An additive homomorphism d from a ring to a module that satisfies Leibniz's rule d(ab)=ad(b)+bd(a).,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,329,0
derived,The derived normal ring of an integral domain is its integral closure in its quotient field.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,333,0
determinant module,The determinant module of a module is the top exterior power of the module.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,337,1
determinantal,"This often refers to properties of an ideal generated by determinants of minors of a matrix. For example, a determinantal ring is generated by the entries of a matrix, with relations given by the determinants of the minors of some fixed size.",Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,341,1
deviation,A deviation of a local ring is an invariant that measures how far the ring is from being regular.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,345,1
dimension,"The Krull dimension of a ring, often just called the dimension, is the maximal length of a chain of prime ideals, and the Krull dimension of a module is the maximal length of a chain of prime ideals containing its annihilator.",Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,349,1
discrete valuation ring,A discrete valuation ring is an integrally closed Noetherian local ring of dimension 1.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,380,1
divisible,A divisible module is a module such that multiplication by any regular element of the ring is surjective.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,384,1
divisor,"A divisor of an integral domain is an equivalence class of non-zero fractional ideals, where two such ideals are called equivalent if they are contained in the same principal fractional ideals.",Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,388,0
divisorial ideal,A divisorial ideal of an integral domain is a non-zero fractional ideal that is an intersection of principal fractional ideals.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,396,1
domain,A domain or integral domain is a ring with no zero-divisors and where 1≠0.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,400,1
dominate,A local ring B is said to dominate a local ring A if it contains A and the maximal ideal of B contains the maximal ideal of A.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,404,0
dual,Grothendieck local duality is a duality for cohomology of modules over a local ring.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,408,1
duality,Grothendieck local duality is a duality for cohomology of modules over a local ring.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,409,1
dualizing,Grothendieck local duality is a duality for cohomology of modules over a local ring.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,410,1
DVR,Abbreviation for discrete valuation ring.,Glossary of commutative algebra,algebra,primary,template,D,,False,False,False,422,1
Eakin,"The Eakin–Nagata theorem states: given a finite ring extension $A \subset B$, $A$ is a Noetherian ring if and only if $B$ is a Noetherian ring.",Glossary of commutative algebra,algebra,primary,template,E,,False,True,False,431,1
Eisenstein,Named after Gotthold Eisenstein,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,435,1
embedded,An embedded prime of a module is a non-minimal associated prime.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,447,0
embedding dimension,See dimension.,Glossary of commutative algebra,algebra,primary,template,E,,True,False,False,452,1
envelope,An injective envelope (or hull) of a module is a minimal injective module containing it.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,456,1
equicharacteristic,A local ring is called equicharacteristic if it has the same characteristic as its residue field.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,460,0
essential,A submodule M of N is called an essential submodule if it intersects every nonzero submodule of N.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,464,1
essentially of finite type,An algebra is said to be essentially of finite type over another algebra if it is a localization of a finitely generated algebra.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,470,0
étale,A morphism of rings is called étale if it is formally etale and locally finitely presented.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,474,1
Euclidean domain,A Euclidean domain is an integral domain with a form of Euclid's algorithm.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,482,2
exact zero divisor,"A zero divisor $x$ is said to be an exact zero divisor if its annihilator, $\operatorname{Ann}_R(x)=\{ r\in R\mid rx=0 \}$, is a principal ideal $yR$ whose annihilator is $ xR$: $\operatorname{Ann}_R(x)=\{ r\in R\mid rx=0 \}= yR$ and $\operatorname{Ann}_R(y)=\{ r\in R\mid ry=0 \}= xR$.",Glossary of commutative algebra,algebra,primary,template,E,,False,True,False,486,0
excellent,An excellent ring is a universally catenary Grothendieck ring such that for every finitely generated algebra the singular points of the spectrum form a closed subset.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,494,1
Ext,"The Ext functors, the derived functors of the Hom functor.",Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,498,1
extension,An extension of an ideal is the ideal generated by the image under a homomorphism of rings.,Glossary of commutative algebra,algebra,primary,template,E,,False,False,False,502,1
face ring,An alternative name for a Stanley–Reisner ring.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,515,1
factorial,Factorial ring is an alternative name for a unique factorization domain.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,519,1
faithful,A faithful module is a module whose annihilator is 0.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,523,1
faithfully,A faithfully flat module over a ring R is a flat module whose tensor product with any non-zero module is non-zero.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,528,1
field,A commutative ring such that every nonzero element has an inverse,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,535,0
finite,"A finite module (or algebra) over a ring usually means one that is finitely generated as a module. It may also mean one with a finite number of elements, especially in the term finite field.",Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,542,1
finite type,An algebra over a ring is said to be of finite type if it is finitely generated as an algebra.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,546,0
finitely generated,A module over a ring is called finitely generated if every element is a linear combination of a fixed finite number of elements. If the module happens to be an algebra this is much stronger than saying it is finitely generated as an algebra.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,550,1
Fitting ideal,The Fitting ideal In(M) of a module M generated by g elements is the ideal generated by the determinants of the minors of size g–n of the matrix of relations defining the module.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,558,1
flat,A flat module is a module such that tensoring with it preserves exactness.,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,563,1
formally,"A homomorphism f:A→B of rings is called formally smooth, formally unramified, or formally etale if for every A-algebra R with a nilpotent ideal I, the natural map from HomA(R/I, B) to HomA(R, B) is surjective, injective, or bijective. The algebra B is then called a formally smooth, formally unramified, or formally etale A-algebra.",Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,577,3
fractional ideal,"If K is the ring of fractions of an integral domain R, then a fractional ideal of R is a submodule of the R-module K contained in kR for some k in K.",Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,585,1
fractionary ideal,An alternative name for fractional ideals,Glossary of commutative algebra,algebra,primary,template,F,,False,False,False,589,1
G-ring,An alternative name for a Grothendieck ring.,Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,597,1
Gaussian,The Gaussian ring is the ring of Gaussian integers m+ni.,Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,601,2
GCD,Abbreviation for greatest common divisor,Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,605,1
geometrically,"The word ""geometrically"" usually refers to properties that continue to hold after taking finite field extensions. For example, a ring R over a field k is called geometrically normal, geometrically regular, or geometrically reduced if R⊗kK is normal, regular, or reduced for every finite extension field K of k.",Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,611,1
going down,"An extension R⊆S of commutative rings is said to have the going down property if whenever p1⊆p2 is a chain of prime ideals in R and q2 is a prime ideal of S with q2∩R=p2, there is a prime ideal q1 of S with q1⊆q2 and q1∩R=p1.",Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,615,1
going up,"An extension R⊆S of commutative rings is said to have the going up property if whenever p1⊆p2 is a chain of prime ideals in R and q1 is a prime ideal of S with q1∩R=p1, there is a prime ideal q2 of S with q1⊆q2 and q2∩R=p2.",Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,621,1
Gorenstein,Daniel Gorenstein,Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,627,1
grade,"The various uses of the term ""grade"" are sometimes inconsistent and incompatible with each other.",Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,633,0
graded,"A graded algebra or module is one that is a direct sum of pieces indexed by an abelian group, often the group of integers.",Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,646,1
Gröbner basis,A Gröbner basis is a set of generators for an ideal of a polynomial ring satisfying certain conditions.,Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,650,1
Grothendieck,Named after Alexander Grothendieck,Glossary of commutative algebra,algebra,primary,template,G,,False,False,False,654,1
HCF,Abbreviation for highest common factor,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,667,1
height,"The height of a prime ideal, also called its codimension or rank or altitude, is the supremum of the lengths of chains of prime ideals descending from it.",Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,671,1
Hensel,Named for Kurt Hensel,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,677,1
Henselian,Named for Kurt Hensel,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,678,1
Henselization,Named for Kurt Hensel,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,679,1
Hilbert,Named after David Hilbert,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,691,1
Hironaka,Named after Heisuke Hironaka,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,709,1
Hodge,Named after W. V. D. Hodge,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,715,1
hull,An injective hull (or envelope) of a module is a minimal injective module containing it.,Glossary of commutative algebra,algebra,primary,template,H,,False,False,False,720,1
ideal,A submodule of a ring. Special cases include:,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,729,0
idealwise separated,"A module $M$ is idealwise separated for an ideal I if for every ideal, $\mathfrak{a}$, $\bigcap_{n \ge 1} I^n(\mathfrak{a} \otimes M) = 0$ (for example, this is the case when A is a Noetherian local ring, I its maximal ideal and M finitely generated).",Glossary of commutative algebra,algebra,primary,template,I,,False,True,False,735,2
idempotent,An element x with x2=x.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,739,0
incomparability property,"The extension A⊆B is said to satisfy the incomparability property if whenever Q and Q' are distinct primes of B lying over prime P in A, then Q⊈Q'<nowiki /> and Q'<nowiki />⊈Q.",Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,743,1
indecomposable,A module is called indecomposable if it is not the direct sum of two proper submodules.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,747,1
inertia group,An inertia group is a group of automorphisms of a ring whose elements fix a given prime ideal and act trivially on the corresponding residue class ring.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,751,1
infinitely generated,Not finitely generated.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,755,1
initial ideal,"In a graded ring, the initial ideal of an ideal I is the set of all homogeneous components of minimal degree of the elements in I (this is an ideal of the multiplicative monoid of the homogeneous elements.)",Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,759,3
injective,An injective module is one with the property that maps from submodules to it can be extended to larger modules.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,764,1
integral,"The two different meanings of integral (no zero divisors, or every element being a root of a monic polynomial) are sometimes confused.",Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,774,0
invertible,An invertible fractional ideal is a fractional ideal that has an inverse in the monoid of fractional ideals under multiplication.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,798,0
irreducible,An element of a ring is called irreducible if it cannot be written as a product of two non-units.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,802,1
irrelevant,The irrelevant ideal of a graded algebra is generated by all elements of positive degree.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,811,1
isolated,An isolated prime of a module is a minimal associated prime.,Glossary of commutative algebra,algebra,primary,template,I,,False,False,False,815,1
J-0 ring,A J-0 ring is a ring such that the set of regular points of the spectrum contains a non-empty open subset.,Glossary of commutative algebra,algebra,primary,template,J,,False,False,False,825,1
J-1 ring,A J-1 ring is a ring such that the set of regular points of the spectrum is an open subset.,Glossary of commutative algebra,algebra,primary,template,J,,False,False,False,829,1
J-2 ring,A J-2 ring is a ring such that any finitely generated algebra is a J-1 ring.,Glossary of commutative algebra,algebra,primary,template,J,,False,False,False,833,1
Jacobian,The Jacobian matrix is a matrix whose entries are the partial derivatives of some polynomials.,Glossary of commutative algebra,algebra,primary,template,J,,False,False,False,837,1
Jacobson,Named after Nathan Jacobson,Glossary of commutative algebra,algebra,primary,template,J,,False,False,False,845,1
Japanese ring,"A Japanese ring (also called N-2 ring) is an integral domain R such that for every finite extension L of its quotient field K, the integral closure of R in L is a finitely generated R module.",Glossary of commutative algebra,algebra,primary,template,J,,False,False,False,853,3
Kähler differential,The module of Kähler differentials of a ring is the universal module with a derivation from the ring to it.,Glossary of commutative algebra,algebra,primary,template,K,,False,False,False,864,1
Kleinian integer,The Kleinian integers are the integers of the imaginary quadratic field of discriminant −7.,Glossary of commutative algebra,algebra,primary,template,K,,False,False,False,868,1
Koszul complex,The Koszul complex is a free resolution constructed from a regular sequence.,Glossary of commutative algebra,algebra,primary,template,K,,False,False,False,872,1
Krull ring,A Krull ring (or Krull domain) is a ring with a well behaved theory of prime factorization.,Glossary of commutative algebra,algebra,primary,template,K,,False,False,False,876,1
Krull dimension,See dimension.,Glossary of commutative algebra,algebra,primary,template,K,,True,False,False,881,1
